"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",32,"Trawl",1981,3,11,"9:55:00.000",32,17.8,8,161838,"ANCHOA HEPSETUS","UNCLASSFD",44,NA,NA,2
"2",32,"Trawl",1981,3,11,"9:55:00.000",32,17.8,8,161838,"ANCHOA HEPSETUS","UNCLASSFD",43,NA,NA,2
"3",19,"Trawl",1981,4,2,"13:15:00.000",31,20,7.8,161838,"ANCHOA HEPSETUS","UNCLASSFD",61,NA,NA,1
"4",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",11,NA,NA,33
"5",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",75,NA,NA,33
"6",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",14,NA,NA,33
"7",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",14,NA,NA,33
"8",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",11,NA,NA,33
"9",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",15,NA,NA,33
"10",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",14,NA,NA,33
"11",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",12,NA,NA,33
"12",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",11,NA,NA,33
"13",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",12,NA,NA,33
"14",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",14,NA,NA,33
"15",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"16",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"17",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",15,NA,NA,33
"18",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",10,NA,NA,33
"19",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"20",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",15,NA,NA,33
"21",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",12,NA,NA,33
"22",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"23",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"24",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",11,NA,NA,33
"25",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",16,NA,NA,33
"26",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",11,NA,NA,33
"27",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",12,NA,NA,33
"28",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",12,NA,NA,33
"29",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",10,NA,NA,33
"30",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",14,NA,NA,33
"31",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",16,NA,NA,33
"32",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"33",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",13,NA,NA,33
"34",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",10,NA,NA,33
"35",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",17,NA,NA,33
"36",5,"Trawl",1981,5,1,"13:30:00.000",20,25.6,5.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",14,NA,NA,33
"37",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",35,NA,NA,343
"38",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",31,NA,NA,343
"39",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",38,NA,NA,343
"40",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",31,NA,NA,343
"41",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",28,NA,NA,343
"42",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",27,NA,NA,343
"43",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",28,NA,NA,343
"44",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",34,NA,NA,343
"45",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",28,NA,NA,343
"46",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",35,NA,NA,343
"47",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",32,NA,NA,343
"48",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",33,NA,NA,343
"49",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",35,NA,NA,343
"50",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",32,NA,NA,343
"51",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",33,NA,NA,343
"52",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",30,NA,NA,343
"53",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",25,NA,NA,343
"54",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",28,NA,NA,343
"55",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",28,NA,NA,343
"56",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",30,NA,NA,343
"57",6,"Trawl",1981,5,22,"12:05:00.000",16,23,2.2,161838,"ANCHOA HEPSETUS","UNCLASSFD",31,NA,NA,343
