"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",105,NA,NA,10
"2",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",21,NA,NA,10
"3",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",22,NA,NA,10
"4",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",20,NA,NA,10
"5",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",22,NA,NA,10
"6",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",22,NA,NA,10
"7",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",22,NA,NA,10
"8",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",23,NA,NA,10
"9",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",20,NA,NA,10
"10",8,"Trawl",1981,2,3,"14:50:00.000",31,12.2,8.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",22,NA,NA,10
"11",20,"Trawl",1981,2,4,"14:16:00.000",31,10,12.6,161734,"BREVOORTIA PATRONUS","UNCLASSFD",20,NA,NA,2
"12",20,"Trawl",1981,2,4,"14:16:00.000",31,10,12.6,161734,"BREVOORTIA PATRONUS","UNCLASSFD",22,NA,NA,2
"13",21,"Trawl",1981,2,4,"14:43:00.000",22,9.4,9.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",20,NA,NA,9
"14",21,"Trawl",1981,2,4,"14:43:00.000",22,9.4,9.4,161734,"BREVOORTIA PATRONUS","UNCLASSFD",21,NA,NA,9
