"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",118,NA,NA,2
"2",28,"Trawl",1981,4,22,"13:18:00.000",5,25.6,5.6,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",135,NA,NA,2
"3",28,"Trawl",1981,12,3,"14:55:00.000",NA,NA,9.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",108,NA,NA,1
"4",4,"Trawl",1982,1,25,"10:21:00.000",4,12,7,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",172,NA,NA,1
"5",6,"Trawl",1983,2,18,"14:42:00.000",4,12.5,6,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",168,NA,NA,2
"6",6,"Trawl",1983,2,18,"14:42:00.000",4,12.5,6,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",131,NA,NA,2
"7",28,"Trawl",1983,3,22,"13:36:00.000",2,15,6,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",152,NA,NA,1
"8",28,"Trawl",1983,5,6,"10:46:00.000",0,21.5,6.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",152,NA,NA,1
"9",28,"Trawl",1983,6,3,"9:32:00.000",2,27,2.8,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",186,NA,NA,1
"10",7,"Trawl",1984,1,6,"10:02:00.000",15,10,3,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",154,NA,NA,1
"11",19,"Trawl",1984,1,5,"10:41:00.000",22,10.5,4.8,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",124,NA,NA,2
"12",19,"Trawl",1984,1,5,"10:41:00.000",22,10.5,4.8,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",130,NA,NA,2
"13",27,"Trawl",1984,1,3,"12:50:00.000",4,7.5,6.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",108,NA,NA,1
"14",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",144,NA,NA,1
"15",13,"Trawl",1984,4,18,"13:43:00.000",2,18.5,8,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",155,NA,NA,1
"16",24,"Trawl",1984,4,6,"13:32:00.000",8,18,6.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",118,NA,NA,2
"17",24,"Trawl",1984,4,6,"13:32:00.000",8,18,6.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",124,NA,NA,2
"18",28,"Trawl",1984,4,10,"12:37:00.000",4,21,9.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",129,NA,NA,1
"19",28,"Trawl",1984,11,30,"10:19:00.000",22,15,4.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",124,NA,NA,3
"20",28,"Trawl",1984,11,30,"10:19:00.000",22,15,4.2,169239,"CYNOSCION NEBULOSUS","UNCLASSFD",118,NA,NA,3
