"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",9,"Trawl",1981,2,18,"12:45:00.000",21,13.3,6.4,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",48,NA,NA,1
"2",28,"Trawl",1981,2,18,"14:10:00.000",9,16.1,11.2,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",37,NA,NA,4
"3",28,"Trawl",1981,2,18,"14:10:00.000",9,16.1,11.2,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",35,NA,NA,4
"4",28,"Trawl",1981,2,18,"14:10:00.000",9,16.1,11.2,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",50,NA,NA,4
"5",28,"Trawl",1981,2,18,"14:10:00.000",9,16.1,11.2,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",52,NA,NA,4
"6",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",164,NA,297.2,12
"7",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",165,NA,297.2,12
"8",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",172,NA,297.2,12
"9",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",159,NA,297.2,12
"10",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",126,NA,297.2,12
"11",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",163,NA,297.2,12
"12",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",166,NA,297.2,12
"13",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",150,NA,297.2,12
"14",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",144,NA,297.2,12
"15",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",169,NA,297.2,12
"16",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",143,NA,297.2,12
"17",24,"Trawl",1981,5,1,"9:38:00.000",20,26.1,6.8,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",153,NA,297.2,12
"18",27,"Trawl",1981,5,22,"10:20:00.000",14,22,5,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",145,NA,28.7,2
"19",27,"Trawl",1981,5,22,"10:20:00.000",14,22,5,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",133,NA,28.7,2
"20",28,"Trawl",1981,5,12,"12:55:00.000",17,NA,8.6,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",121,NA,20.9,2
"21",28,"Trawl",1981,5,12,"12:55:00.000",17,NA,8.6,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",119,NA,20.9,2
"22",10,"Trawl",1981,6,4,"12:13:00.000",20,29,6.4,551680,"LITOPENAEUS SETIFERUS","UNCLASSFD",174,NA,64.8,2
