"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",21,"Trawl",1981,7,16,"10:30:00.000",31,31,6.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",178,NA,NA,1
"2",24,"Trawl",1981,7,16,"13:45:00.000",26,32,4.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",139,NA,NA,1
"3",60,"Trawl",1981,11,18,"12:00:00.000",20,18,7.6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",298,NA,NA,1
"4",4,"Trawl",1982,1,25,"10:21:00.000",4,12,7,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",173,NA,NA,3
"5",4,"Trawl",1982,1,25,"10:21:00.000",4,12,7,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",141,NA,NA,3
"6",4,"Trawl",1982,1,25,"10:21:00.000",4,12,7,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",106,NA,NA,3
"7",27,"Trawl",1982,4,2,"12:04:00.000",8,23,8.6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",78,NA,NA,2
"8",27,"Trawl",1982,4,2,"12:04:00.000",8,23,8.6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",81,NA,NA,2
"9",28,"Trawl",1982,4,12,"15:05:00.000",13,22,9.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",108,NA,NA,2
"10",28,"Trawl",1982,4,12,"15:05:00.000",13,22,9.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",193,NA,NA,2
"11",24,"Trawl",1982,5,10,"12:24:00.000",4,24,9.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",241,NA,NA,1
"12",28,"Trawl",1982,5,5,"15:29:00.000",10,26,7.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",167,NA,NA,3
"13",28,"Trawl",1982,5,5,"15:29:00.000",10,26,7.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",126,NA,NA,3
"14",28,"Trawl",1982,5,5,"15:29:00.000",10,26,7.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",135,NA,NA,3
"15",24,"Trawl",1982,6,3,"11:44:00.000",10,31,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",106,NA,NA,1
"16",27,"Trawl",1982,6,21,"12:30:00.000",6,28,3,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",82,NA,NA,3
"17",27,"Trawl",1982,6,21,"12:30:00.000",6,28,3,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",122,NA,NA,3
"18",27,"Trawl",1982,6,21,"12:30:00.000",6,28,3,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",119,NA,NA,3
"19",13,"Trawl",1982,7,1,"11:57:00.000",5,27,7.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",132,NA,NA,1
"20",21,"Trawl",1982,7,1,"15:20:00.000",26,30,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",185,NA,NA,1
"21",25,"Trawl",1982,7,1,"13:25:00.000",23,30,6.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",169,NA,NA,1
"22",27,"Trawl",1982,7,1,"10:49:00.000",4,28,8.6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",147,NA,NA,2
"23",27,"Trawl",1982,7,1,"10:49:00.000",4,28,8.6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",152,NA,NA,2
"24",28,"Trawl",1982,7,22,"13:34:00.000",16,29,2.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",138,NA,NA,1
"25",27,"Trawl",1982,8,4,"",12,NA,6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",192,NA,NA,2
"26",27,"Trawl",1982,8,4,"",12,NA,6,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",150,NA,NA,2
"27",28,"Trawl",1982,8,4,"",10,NA,5.4,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",230,NA,NA,1
"28",27,"Trawl",1982,9,1,"11:36:00.000",14,30,1.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",221,NA,NA,3
"29",27,"Trawl",1982,9,1,"11:36:00.000",14,30,1.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",186,NA,NA,3
"30",27,"Trawl",1982,9,1,"11:36:00.000",14,30,1.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",110,NA,NA,3
"31",13,"Trawl",1982,12,22,"14:00:00.000",0,13,NA,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",146,NA,NA,1
"32",1,"Trawl",1983,2,14,"13:07:00.000",0,10,8.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",155,NA,NA,1
"33",27,"Trawl",1983,3,31,"11:13:00.000",0,15,8.4,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",45,NA,NA,1
"34",3,"Trawl",1983,4,26,"12:30:00.000",14,19,1.4,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",281,NA,NA,1
"35",27,"Trawl",1983,4,12,"12:15:00.000",0,23,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",37,NA,NA,1
"36",29,"Trawl",1983,4,12,"11:51:00.000",5,21,2.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",26,NA,NA,1
"37",61,"Trawl",1983,4,11,"11:46:00.000",8,19.5,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",186,NA,NA,1
"38",27,"Trawl",1983,5,6,"11:45:00.000",0,22.5,5.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",273,NA,NA,1
"39",27,"Trawl",1983,7,5,"15:15:00.000",0,31.5,8.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",110,NA,NA,4
"40",27,"Trawl",1983,7,5,"15:15:00.000",0,31.5,8.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",105,NA,NA,4
"41",27,"Trawl",1983,7,5,"15:15:00.000",0,31.5,8.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",127,NA,NA,4
"42",27,"Trawl",1983,7,5,"15:15:00.000",0,31.5,8.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",153,NA,NA,4
"43",27,"Trawl",1983,9,7,"14:30:00.000",11,29,4.4,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",227,NA,NA,1
"44",12,"Trawl",1983,12,9,"10:53:00.000",2,16.5,8.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",148,NA,NA,1
"45",18,"Trawl",1984,1,4,"10:24:00.000",26,12.5,3.2,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",126,NA,NA,1
"46",6,"Trawl",1984,3,22,"9:40:00.000",4,16.5,7.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",203,NA,NA,1
"47",14,"Trawl",1984,3,22,"12:31:00.000",1,17,8.4,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",221,NA,NA,1
"48",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",55,NA,NA,32
"49",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",63,NA,NA,32
"50",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",25,NA,NA,32
"51",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",40,NA,NA,32
"52",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",65,NA,NA,32
"53",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",34,NA,NA,32
"54",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",55,NA,NA,32
"55",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",30,NA,NA,32
"56",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",42,NA,NA,32
"57",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",29,NA,NA,32
"58",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",44,NA,NA,32
"59",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",32,NA,NA,32
"60",27,"Trawl",1984,3,22,"10:08:00.000",2,17,6.8,172738,"PARALICHTHYS LETHOSTIGMA","UNCLASSFD",61,NA,NA,32
