"","STATION","GEAR_DESC","YEAR","MONTH","DAY","Time","SAL","Temp_C","O2_MG_L","ITIS","Genus_species","sp_desc","Length","Weight","Total_Wgt","Total_NUM"
"1",17,"Trawl",1982,2,18,"14:27:00.000",26,16,7,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",106,NA,NA,1
"2",16,"Trawl",1982,12,21,"13:30:00.000",30,17,6.8,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",67,NA,NA,1
"3",20,"Trawl",1983,3,25,"9:28:00.000",14,14.5,4.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",57,NA,NA,1
"4",8,"Trawl",1983,6,2,"9:38:00.000",17,23.5,2.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",93,NA,NA,1
"5",3,"Trawl",1983,8,9,"12:35:00.000",18,29,5,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",48,NA,NA,3
"6",3,"Trawl",1983,8,9,"12:35:00.000",18,29,5,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",39,NA,NA,3
"7",3,"Trawl",1983,8,9,"12:35:00.000",18,29,5,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",17,NA,NA,3
"8",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",40,NA,NA,10
"9",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",51,NA,NA,10
"10",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",58,NA,NA,10
"11",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",46,NA,NA,10
"12",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",44,NA,NA,10
"13",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",45,NA,NA,10
"14",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",47,NA,NA,10
"15",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",55,NA,NA,10
"16",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",49,NA,NA,10
"17",3,"Trawl",1983,11,17,"12:33:00.000",25,18,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",55,NA,NA,10
"18",56,"Trawl",1983,12,8,"10:02:00.000",18,16,5.8,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",48,NA,NA,1
"19",64,"Trawl",1984,4,10,"14:31:00.000",25,20.5,7,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",83,NA,NA,2
"20",64,"Trawl",1984,4,10,"14:31:00.000",25,20.5,7,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",62,NA,NA,2
"21",64,"Trawl",1984,5,2,"10:35:00.000",20,23,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",65,NA,NA,5
"22",64,"Trawl",1984,5,2,"10:35:00.000",20,23,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",83,NA,NA,5
"23",64,"Trawl",1984,5,2,"10:35:00.000",20,23,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",61,NA,NA,5
"24",64,"Trawl",1984,5,2,"10:35:00.000",20,23,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",64,NA,NA,5
"25",64,"Trawl",1984,5,2,"10:35:00.000",20,23,2.4,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",82,NA,NA,5
"26",8,"Trawl",1984,12,12,"14:47:00.000",25,16.5,6.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",47,NA,NA,2
"27",8,"Trawl",1984,12,12,"14:47:00.000",25,16.5,6.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",46,NA,NA,2
"28",64,"Trawl",1985,1,14,"10:10:00.000",32,14,2.8,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",54,NA,NA,3
"29",64,"Trawl",1985,1,14,"10:10:00.000",32,14,2.8,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",47,NA,NA,3
"30",64,"Trawl",1985,1,14,"10:10:00.000",32,14,2.8,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",52,NA,NA,3
"31",3,"Trawl",1985,9,9,"18:00:00.000",23,28,5.6,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",25,NA,NA,2
"32",3,"Trawl",1985,9,9,"18:00:00.000",23,28,5.6,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",18,NA,NA,2
"33",12,"Trawl",1985,9,9,"14:20:00.000",7,30.5,7,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",19,NA,NA,1
"34",27,"Trawl",1985,9,11,"14:05:00.000",12,30,NA,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",15,NA,NA,1
"35",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",57,NA,NA,26
"36",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",64,NA,NA,26
"37",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",64,NA,NA,26
"38",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",60,NA,NA,26
"39",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",59,NA,NA,26
"40",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",63,NA,NA,26
"41",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",64,NA,NA,26
"42",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",53,NA,NA,26
"43",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",65,NA,NA,26
"44",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",63,NA,NA,26
"45",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",63,NA,NA,26
"46",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",67,NA,NA,26
"47",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",58,NA,NA,26
"48",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",44,NA,NA,26
"49",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",52,NA,NA,26
"50",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",32,NA,NA,26
"51",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",63,NA,NA,26
"52",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",62,NA,NA,26
"53",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",39,NA,NA,26
"54",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",61,NA,NA,26
"55",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",63,NA,NA,26
"56",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",37,NA,NA,26
"57",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",54,NA,NA,26
"58",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",41,NA,NA,26
"59",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",63,NA,NA,26
"60",17,"Trawl",1985,11,25,"9:35:00.000",31,21.5,5.2,169292,"STELLIFER LANCEOLATUS","UNCLASSFD",50,NA,NA,26
